"Affiliated entity","Affiliated entity ID","Number of facilities","Number of states and territories with operations","Number of Special Focus Facilities (SFF)","Number of SFF candidates","Number of facilities with an abuse icon","Percentage of facilities with an abuse icon","Percent of facilities classified as for-profit","Percent of facilities classified as non-profit","Percent of facilities classified as government-owned","Average overall 5-star rating","Average health inspection rating","Average staffing rating","Average quality rating","Average total nurse hours per resident day","Average total weekend nurse hours per resident day","Average total Registered Nurse hours per resident day","Average total nursing staff turnover percentage","Average Registered Nurse turnover percentage","Average number of administrators who have left the nursing home","Total number of fines","Average number of fines","Total amount of fines in dollars","Average amount of fines in dollars","Total number of payment denials","Average number of payment denials","Average percentage of short-stay residents who were re-hospitalized after a nursing home admission","Average percentage of short-stay residents who have had an outpatient emergency department visit","Average percentage of short-stay residents who newly received an antipsychotic medication","Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened","Average percentage of short-stay residents who made improvements in function","Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days","Average percentage of long-stay residents who received an antipsychotic medication","Average percentage of long-stay residents experiencing one or more falls with major injury","Average percentage of long-stay high-risk residents with pressure ulcers","Average percentage of long-stay residents with a urinary tract infection","Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder","Average percentage of long-stay residents whose ability to move independently worsened","Average percentage of long-stay residents whose need for help with activities of daily living has increased","Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average percentage of long-stay residents who were physically restrained","Average percentage of long-stay low-risk residents who lose control of their bowels or bladder","Average percentage of long-stay residents who lose too much weight","Average percentage of long-stay residents who have symptoms of depression","Average percentage of long-stay residents who used antianxiety or hypnotic medication","Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF","Average percentage of current residents up to date with COVID-19 vaccines","Average percentage of healthcare personnel up to date with COVID-19 vaccines"
"HEALTH CARE MANAGEMENT GROUP",254,6,2,0,0,0,0,100,0,0,3.2,3.3,2.2,3.2,3.6,3,0.5,51.4,33.5,0.7,13,2.2,84035.61,14005.94,0,0,25.2,12,1.9,3.6,70,74.3,79.2,2.22,1.2,21.2,5.2,5.5,0.3,0.3,11.1,17.4,96.6,88,0,59.1,9.7,17.8,24.3,10.2,24.4,1
"HEALTH CONCEPTS, LTD.",255,5,1,0,0,0,0,100,0,0,4.4,4.6,2.6,2.8,3.3,2.9,0.7,53.3,46.3,0.3,2,0.4,41220.75,8244.15,0,0,22.7,19.8,1.9,5.9,82.9,82.2,85.2,1.1,1.14,21,5.2,6.1,2.8,1.2,19.4,18.1,96.6,93.1,0.3,44.5,3.8,1,12.1,10.2,43.1,15.2
"HEALTH SCHOLARSHIPS, INC.",256,38,1,0,0,2,5.3,0,100,0,3.3,3.3,2.7,2.9,3.6,3.1,0.5,49.4,40.3,0.6,19,0.5,276664.2,7280.64,1,0,22.7,11.7,2,3.3,75.4,80.6,80.6,1.79,0.87,21.5,3.9,10.4,3.3,0.9,20.1,18.6,96.8,94.8,0.1,37.2,6.4,1.9,21.6,10.4,42.1,0.3
"HEALTH SERVICES MANAGEMENT",257,15,2,0,0,2,13.3,33.3,60,6.7,2.6,3,2.1,3.3,3.5,3.2,0.5,"","","",20,1.3,436641.57,29109.44,2,0.1,26.1,9.1,1.5,2.2,63.9,68.4,74.5,2.13,1.14,9,2.7,8.1,1.5,1,19.5,16.2,96,84.3,0,54.5,5.1,1.3,22.9,10.5,18.1,3.3
"HEALTH SYSTEMS FACILITIES, INC.",258,7,1,0,0,0,0,0,100,0,2.7,3.4,2.7,2,3.4,2.9,0.4,46.9,43.8,0.1,3,0.4,25514.32,3644.9,0,0,23.4,11.7,5.1,6.5,68.3,73.3,71.4,2.27,1.28,26.5,2.6,10.5,2.6,1.1,18,19.5,96.3,90.7,0,40.6,5,3.1,24.1,10.6,40.7,1.1
"HEALTHCARE ACCOUNTING SERVICES, LLC",259,6,2,0,0,3,50,100,0,0,1.3,1.8,1.7,2.2,2.8,2.4,0.4,48.9,42.4,1.2,32,5.3,750910.5,125151.75,6,1,25.6,18.3,1,2.3,49.8,30.7,38.4,2.16,1.39,20.1,1.5,8.3,1.5,4.2,22.1,18.1,79.5,78.7,0,26.8,4.9,22.2,18.4,10.9,71.7,25.5
"HEALTHCARE OF IOWA",260,5,1,0,0,1,20,80,20,0,2.4,2.4,3.2,3.2,3.3,2.8,0.7,61.5,46.4,0.4,13,2.6,202274.91,40454.98,0,0,17.9,17,0.9,4,76.2,84,96.1,1.61,1.12,12.9,6.2,9.7,1.5,0.3,14.6,21.4,91.8,96.2,0.4,29.2,5.2,4.6,16.6,9.8,45.9,1.6
"HEALTHPEAK PROPERTIES, INC.",261,15,6,0,0,1,6.7,100,0,0,3.3,2.9,4,3.7,4.7,4.1,1,52.7,54.2,0.5,21,1.4,415517.68,27701.18,0,0,26.4,10.4,1.2,2.6,79.4,89.9,94.4,2.29,0.83,9.7,1.9,12.1,2.8,1.9,20.8,14.6,97,98.2,0,76.4,6,5.6,17.5,10.8,29.5,5.4
"HEARTHSTONE SENIOR COMMUNITIES",262,8,1,0,0,0,0,0,100,0,2.8,2.6,2.4,3.6,3.1,3,0.5,44.6,50.6,0.9,5,0.6,252165.64,31520.71,0,0,25.1,10.9,2.9,1.1,83.4,95,99,1.86,0.92,8.6,2.4,7.8,0.1,0.1,8.2,7.4,98,99.9,0,27.2,5.7,1.8,30.3,10.9,26,6.6
"HELIA HEALTHCARE",263,14,2,0,0,4,28.6,100,0,0,2.2,2.6,1.6,2.6,3,2.6,0.6,61,45.9,0.6,27,1.9,1429537.58,102109.83,14,1,24.8,18.6,1.5,2,68.4,76.9,74.7,2.24,1.82,10.2,3.4,8.9,1,1,17.9,14.5,93.7,90.4,0.5,57.5,5.9,20.9,23.6,12.1,8.7,3.1
"HERITAGE HALL",265,15,1,0,0,0,0,100,0,0,2.8,3.5,1.3,3.1,3.4,2.6,0.4,100,100,1.5,10,0.7,88677.81,5911.85,0,0,19.8,15.5,1.3,2.5,68.8,76.9,84.7,1.46,1.46,10.8,3.5,6.7,2.4,0.6,18.8,16.8,97,96.3,0,44.7,5.9,1.7,19.1,11,22.3,3.9
"HERITAGE MINISTRIES",266,4,2,0,0,1,25,0,100,0,2,2.3,1.8,4,2.8,2.4,0.6,47.4,48.5,1,16,4,113293.27,28323.32,1,0.3,15.6,12.7,1.2,3.2,76.3,69.4,57.3,1.04,0.35,15,4.4,6.6,2.4,1.5,25.3,19.2,88.9,81.7,0,63.8,7.1,1.6,8.1,9.8,49.6,0.1
"HICKORY CREEK HEALTHCARE FOUNDATION",268,10,1,0,0,0,0,70,30,0,3,3.4,1.6,3.7,3.2,2.8,0.6,65.5,62.4,0.6,10,1,87937.25,8793.73,1,0.1,30.2,15.7,0.8,6.8,90.5,77.7,65.9,2.06,2.08,8.5,3.1,9.5,2,0.7,5.7,13.2,97.6,87.1,0.2,50,5.2,24,30.6,10.8,30.6,0.2
"HIGHBRIDGE HEALTHCARE",269,2,2,0,0,0,0,100,0,0,3.5,3.5,2.5,4,3.4,2.9,0.5,98.1,88.9,0,0,0,0,0,0,0,23.2,7.9,3.5,3.1,86.4,94.6,95.3,1.54,0.79,18.5,3,9.8,0.2,1.4,6.4,9.4,98.7,99.7,0,37.3,4.6,7.2,18.4,8.8,26,40
"HILL VALLEY HEALTHCARE",270,31,5,1,1,3,9.7,80.6,19.4,0,1.6,1.8,1.5,3,3.2,2.7,0.5,66.3,65.4,1.8,60,1.9,1754039.22,56581.91,3,0.1,21.6,13.8,1.8,2.3,73.3,62.3,57.2,1.64,1.08,16.2,3.5,9,1.3,0.7,23.8,20.9,92.2,80.4,0,53.8,8.7,7.6,17.8,10.6,21.6,2.4
"HILLSTONE HEALTHCARE",271,17,1,0,1,1,5.9,100,0,0,1.8,1.9,1.4,3.1,3.1,2.9,0.5,58.2,59.8,0.5,76,4.5,1456415.22,85671.48,18,1.1,20.8,16.7,3.3,6.1,43.6,38.4,38.4,1.73,1.57,16.6,3.6,7.2,4.2,0.8,17.4,18.4,81.3,75.3,0.1,31.4,6.1,33.3,30.7,10.9,21.8,0
"HMG HEALTHCARE",272,33,2,0,1,3,9.1,78.8,0,21.2,2.8,2.9,1.3,4.3,3.2,2.7,0.3,62.6,62.5,0.7,64,1.9,1290672.55,39111.29,8,0.2,22.4,12.6,0.7,1.2,68.7,89.1,95.3,2.15,1.2,6.5,2.3,4.9,0.1,0.9,9,12.2,98.5,99.6,0,62.8,2.3,3.9,16.4,11,13.2,1
"HOMEWOOD RETIREMENT CENTERS",273,4,2,0,0,0,0,0,100,0,3.3,3,3.8,4.3,4.4,3.8,0.8,48.8,38.8,0,5,1.3,111063.93,27765.98,0,0,17.7,10.3,1.1,2.9,77.5,88.4,83.1,1.16,0.49,19.1,5.1,7.3,5.6,1.3,20.6,15.1,96.7,92.1,0,62.6,8.6,0.2,21.1,10.2,69,1.1
HUMANGOOD,274,17,7,0,0,2,11.8,5.9,94.1,0,4,3.4,4.5,4.1,5.1,4.5,0.9,46.9,49.8,0.3,16,0.9,203555.93,11973.88,0,0,22.2,10.7,1.1,3.2,77.4,90.5,92.8,1.63,1.03,10.6,3.5,8.1,3.4,0.8,16,13.4,94.1,97,0,62.2,7.8,8.2,11.6,10.4,47.4,12.4
"HUNTSVILLE HOSPITAL HEALTH SYSTEM",610,3,2,0,0,0,0,0,33.3,66.7,2.7,2.3,3.3,3,4,3.5,0.8,46.7,45.2,0,7,2.3,17186.54,5728.85,0,0,17.5,22.2,1.1,2.6,84.4,94,95.9,2.02,2.54,11.4,4.1,10.9,3.2,1.4,23.8,21.4,98.6,96.9,0,57.4,8.2,0.9,30,10.8,0,0
"HURLBUT CARE",275,13,1,0,1,0,0,100,0,0,3.1,3.1,1.8,3.3,3.5,2.9,0.5,52.2,55.3,1.4,7,0.5,115851.56,8275.11,0,0,13.2,9.9,1,3.2,66.7,64,66.6,1.12,0.75,14.3,3.7,8.2,3.4,0.9,22.1,19.2,92.9,85.4,0,68.3,8.3,3.2,6.6,10.5,69.2,19
"HYATT FAMILY FACILITIES",276,5,1,0,0,0,0,100,0,0,2.8,2.4,3,4.4,4.1,3.5,0.8,57.5,60.7,0.3,19,3.8,213290.73,42658.15,1,0.2,17.3,14.3,0.9,1.9,81.9,84.1,87.5,1.01,0.88,16.3,2.9,8,4.8,1.8,10.8,9.5,98.4,98.1,0,63.3,10.3,13.9,13,9.9,29.2,2.1
"ICARE HEALTH NETWORK",277,12,2,0,0,3,25,100,0,0,3,2.6,2.7,4.2,3.3,3,0.5,38.1,54.1,0.8,7,0.6,317995.05,26499.59,0,0,25.5,13.5,1.8,2.2,85.9,65.7,83.5,1.96,0.92,13.9,2.1,6.7,1,0.8,14.3,15.3,94.5,96.7,0,24,4.3,11,27.4,10.2,29.8,2.3
"IDE MANAGEMENT GROUP",278,10,1,0,0,0,0,60,10,30,2.9,3,1.4,4,3.2,2.8,0.6,65.5,66.7,0.9,21,2.1,229811,22981.1,3,0.3,18.8,9.9,0.5,2.3,71.7,76.9,72,1.53,0.96,14.6,4.2,6,2.2,0.5,18.2,14.4,94.5,89.5,0,55.6,4.6,17.1,25.9,10,51.6,7.8
"IGNITE MEDICAL RESORTS",279,15,6,0,1,0,0,100,0,0,2.9,2.9,2.1,3.9,3.8,3.3,0.6,63.1,56.1,0.6,29,1.9,577082.35,38472.16,3,0.2,24.5,11.6,1,2.1,80.3,72.1,73.2,1.89,1.65,11.9,4.6,10.7,2.8,0.6,21.3,14.6,85.1,91.7,0,51.3,6.1,20.3,20.9,11.8,48.5,38.1
"IHS MANAGEMENT CONSULTANTS",280,5,1,0,0,0,0,100,0,0,2.2,2.2,1.8,2.4,3,2.7,0.3,59.2,54.2,0.6,8,1.6,46742.71,9348.54,1,0.2,28.1,12,2.2,5.7,70.9,49.4,71.6,1.91,1.48,17.2,4.1,10.3,2.8,3.1,12.5,12.3,90.3,81.8,0,34.9,2.5,0.9,21.6,10.6,34.8,3.8
IMMANUEL,281,3,2,0,0,0,0,0,100,0,4.3,3.7,4.7,5,5.3,4.8,1.5,57,44.3,0.7,4,1.3,98834,32944.67,0,0,15.6,6.6,1.9,2.6,86.9,73.2,86.3,1.73,0.49,15,1.9,5.1,1.4,0.5,15.8,11.6,97.7,98.6,0,67.2,3.4,6.4,9.4,9,79.6,31.2
"IMPERIAL HEALTHCARE GROUP",282,15,1,0,1,2,13.3,100,0,0,1.9,2.1,1.6,3.3,3.4,3.1,0.5,61.2,62.2,0.6,40,2.7,410825.26,27388.35,1,0.1,23.3,10.4,1.4,2.8,79,64.5,62.9,2.5,1.09,15.3,2.7,8.4,1.8,0.9,20.5,19.7,90.7,81.9,0,54.1,7,5.2,18.7,9.8,38.2,2.3
"INFINITE CARE",578,17,3,0,0,0,0,100,0,0,3.2,3.1,2.9,3.9,3.6,3.2,0.6,50.8,49.3,0.8,25,1.5,444614.64,26153.8,0,0,25.9,10.8,1.3,2.8,79.8,76.6,76.7,2,0.94,10,3.3,8.4,1.2,1.3,12.7,10.9,95.3,87.2,0,50.8,7.9,7.6,16.9,11.7,34,9.2
"INFINITY HEALTHCARE MANAGEMENT",283,58,5,1,2,13,22.4,91.4,3.4,5.2,1.9,2,1.3,3.6,3.1,2.7,0.4,60.8,59.7,0.9,276,4.8,9788322.07,168764.17,37,0.6,24.6,13.8,2.5,2.2,79.7,52.4,54,2.04,1.5,15.9,3.2,7.7,1.3,0.7,6.5,6.7,89.2,75.9,0.1,52.5,6.9,47.3,25.1,10.5,26.4,5.4
"INGLESIDE ENGAGED LIVING",284,2,2,0,0,0,0,0,100,0,4,3.5,4.5,4,5.3,4.7,1.5,49.7,66.1,0,8,4,12491.3,6245.65,0,0,27.4,14.9,1.3,2,72.9,81.9,80.4,0.72,0.24,6.1,0,16.8,1.6,0.8,28.2,23.6,96,89.6,0,62.5,7.9,4.5,14.5,11.6,78.1,49.6
"INNOVATIVE HEALTHCARE MANAGEMENT",285,6,1,0,0,1,16.7,100,0,0,1.7,1.7,1.2,3.3,3.3,2.8,0.5,70.5,67.3,0.3,27,4.5,133322.62,22220.44,3,0.5,19.7,9.9,2.4,3.2,75.6,60,62.2,1.6,1,17.5,2.4,10.5,0.9,0.4,14.4,20.7,91.8,89,0,63.5,8.7,17.5,18,9.7,31.7,2.6
"INSPIRED HEALTHCARE MANAGEMENT",286,6,1,0,0,1,16.7,83.3,0,16.7,2,3.2,1.5,1.7,3.5,3.1,0.2,61.1,44.2,0.8,4,0.7,22150,3691.67,0,0,31.6,15.4,2.5,2.9,52.1,58,62.5,2.36,1.83,16.5,4.8,10,2.8,2,14.7,23.7,90.5,80.7,0,70.2,5.8,0,22.8,11.9,31,9.2
"INTEGRITUS HEALTHCARE",603,15,1,0,0,2,13.3,6.7,93.3,0,2.4,2.3,2.5,3.6,3.5,3,0.5,54.9,53.8,0.6,46,3.1,1325457.3,88363.82,2,0.1,22.5,11.8,1.3,1.6,79.7,73.6,79,1.61,1.04,19.1,2.8,5.8,1.7,1.1,20.2,17.3,92.3,94.1,0,58.4,5.7,2.9,17,10.4,49.4,12.1
"JAG HEALTHCARE",289,9,1,0,0,0,0,100,0,0,3.4,3.4,1.7,4.4,3.1,2.7,0.5,43.1,38.7,0.2,20,2.2,124784.01,13864.89,3,0.3,"","","","","",75.7,75.6,1.41,1.08,31.5,4.5,3.9,1.5,0,9.7,11.5,98.3,93.5,0.1,26.4,7.7,39.9,40.1,10.8,52.4,2.8
"JAMES & JUDY LINCOLN",290,72,2,0,1,6,8.3,100,0,0,2.5,2.9,2.1,2.6,3.2,2.8,0.4,57.3,55.3,1,57,0.8,1422248.51,19753.45,18,0.3,26.1,16.6,2.7,3.4,56.9,56.8,62.8,1.9,1.18,24.9,4,8.1,5,1.7,14.3,14.8,94.5,83.4,0.1,30.8,5.4,4.7,30.2,10.6,17.5,3.9
"JANET & BRENDA MANDELBAUM",291,15,1,0,0,2,13.3,100,0,0,3.7,3.2,3.6,4.2,4.7,4.2,0.5,41,40.6,0.5,23,1.5,100895.05,6726.34,0,0,23.3,8,2.1,1.3,85.8,96.5,98.7,2.42,0.64,10.4,1.2,7,0.6,2.2,10.9,8,99.3,99.7,0.6,26.6,4.5,2.8,16.1,13.8,51,17.2
"JONATHAN BLEIER & YAAKOV SOD",293,17,4,0,1,4,23.5,100,0,0,1.7,1.7,1.9,3.6,3.5,3,0.5,51.8,55.5,0.5,36,2.1,628671.72,36980.69,0,0,25.4,11,1.3,1.8,77.3,78.1,81,1.73,1.01,14,2.2,6.6,1.3,0.6,13.8,13.6,95.4,91.6,0,46,6.7,2,18.1,10.3,47.9,14.3
"JPH CONSULTING",294,4,2,0,0,1,25,100,0,0,2,2.3,2,3.5,3.4,3.2,0.4,53.5,63.2,"",102,25.5,537338.67,134334.67,0,0,19,6.4,1.9,1.4,62,61.5,54,2.82,0.49,15.7,0.4,6.3,1.9,1.6,15.3,18.2,93.7,88.2,0,40.7,4.5,1.3,12.2,10.3,74.6,35.6
"JUCKETTE FAMILY HOMES",295,6,1,0,0,0,0,100,0,0,2,2.8,1.3,2.3,3.4,3,0.2,59.8,80,1,16,2.7,161010.08,26835.01,3,0.5,19.8,16.2,2.5,3.9,79.3,69.7,86.4,2.16,2,21.3,5.5,5.4,4.6,1.8,17.9,15.5,96.7,96.3,0,36.6,6.7,4.7,23.8,10.7,32.3,1.2
"KADIMA HEALTHCARE GROUP",296,6,1,0,1,2,33.3,100,0,0,1.7,1.8,2.7,2.3,3.7,3.2,0.8,61.1,50.2,0.8,42,7,897877.3,149646.22,1,0.2,19.5,12.1,0.7,5.1,66.5,41.4,35.3,2.27,1.07,17.7,2.8,9.8,1.1,1.2,28.4,23.2,87.4,68.9,0,44.2,8.2,9.8,22.5,10.7,58.7,19.5
"KALESTA HEALTHCARE GROUP",297,6,1,0,1,0,0,100,0,0,2.3,1.8,3.3,4.3,4.2,3.7,0.4,49.8,48,0,21,3.5,165469.95,27578.33,1,0.2,22.3,17,1.3,0.7,87.5,96,97,1.97,1.38,11.7,1.8,6.1,1.4,1,12.9,7.5,99.3,99.7,0,46.8,4.8,1.5,14.5,10.2,12,8.9
"KINDRED HEALTHCARE",300,4,4,0,0,0,0,100,0,0,4,3.8,4,3,7.1,6.1,1.8,31.6,29.3,0.5,8,2,18452.4,4613.1,0,0,20.3,11.2,0.9,1.7,82.9,96.3,94.6,1.09,0.69,19.9,0.2,32.9,8,6.7,19.9,17.7,99.6,99.8,0.5,"",6.3,1.9,50.2,10.7,27.5,6.1
"KINGSTON HEALTHCARE",301,6,2,0,0,0,0,100,0,0,4,3.2,3.2,5,4.3,3.8,0.8,54.5,51.1,0.8,4,0.7,48710,8118.33,0,0,21.3,10.6,0.8,3.5,80.1,78.6,81.4,1.28,0.85,9.2,2,12.6,0.9,0.4,13.2,10.2,93.2,92.6,0,61.6,7.9,3.8,21.1,10.6,2.3,5.2
"KISCO SENIOR LIVING",585,2,2,0,0,0,0,100,0,0,4,4,4.5,2,6.3,5.5,1.4,43.9,50,1,2,1,12805,6402.5,0,0,30.1,18.5,3.8,4,78,88.7,98.6,1.68,1.14,37,13.8,15.2,1.9,3.6,22,5.8,98.5,96.3,0,"",9.5,2,29.3,9.7,20.3,0.7
"KISSITO HEALTHCARE",302,6,2,0,0,0,0,0,100,0,4,4.2,3,3.3,3.9,3.3,0.7,46.4,37.4,0.5,2,0.3,9418.5,1569.75,0,0,20.6,19.2,1.2,2.1,72.6,66.8,69.8,2.09,2.17,14.9,4.5,9.9,1.4,0.4,11.1,12,93.6,90.2,0,50.8,6.4,3.1,25.5,10.7,44.2,2.1
"KPC PROMISE HEALTHCARE",303,4,3,0,0,0,0,100,0,0,2.8,2.5,3.3,3.5,4.5,4,0.8,38.2,35.8,0.3,18,4.5,246038.96,61509.74,2,0.5,29.1,14.4,1.3,1.6,79.4,79.9,80.7,1.44,0.94,5.9,3.5,10.7,3.3,4,17.2,13.3,93,90.1,0,40.5,6.9,16.9,35.5,10.3,43.3,2.5
"LANTIS ENTERPRISES",304,6,3,0,1,1,16.7,100,0,0,2,2.3,1.8,2.7,2.9,2.5,0.5,64.9,76.1,0.4,7,1.2,195601.25,32600.21,2,0.3,12.3,11.6,5.9,3.8,82.9,75.2,63.2,1.68,1.33,21.6,3,8.3,2.2,2.6,17.3,13.6,96.9,88.6,0.3,42.2,7.9,6.2,19.8,9.8,17.1,2.3
"LEGACY HEALTH SERVICES",305,9,1,0,0,0,0,100,0,0,3.1,3.1,1.7,4.1,3.5,2.9,0.7,63.3,62.5,0.6,18,2,186446.89,20716.32,1,0.1,24.8,11.5,1.3,1.3,69.3,77.8,84.2,1.53,1,5.3,2.9,6.2,0.8,0.2,12.7,10.9,91.6,95.9,0,47,5.6,40.2,15.4,10.4,27.2,1
"LEGACY HEALTHCARE",306,55,3,0,1,10,18.2,94.5,5.5,0,2.5,2.5,2.5,3.2,3.3,2.9,0.8,53.6,43.1,0.9,203,3.7,3975520.85,72282.2,28,0.5,25.6,13.3,2.3,1.6,81.6,53.8,62.5,1.89,1.17,18.3,3,9.9,1.8,1.6,14.2,10.8,87.8,83.8,0.2,45.5,7.7,55.3,14.7,10.8,40.1,15.1
"LEGACY NURSING & REHABILITATION",307,8,2,0,0,1,12.5,100,0,0,2.4,2.6,1.9,2.9,3.4,2.9,0.2,46.6,34.3,1,30,3.8,488806.11,61100.76,1,0.1,25.5,15.1,3.9,3.7,81.7,53,88.6,2.56,1.96,7.6,2,10.8,1,0.9,7,17,84,96.8,0,43.5,5.2,4.4,22.8,11.6,31.6,12.2
"LEXINGTON HEALTH MANAGEMENT",309,16,5,1,2,3,18.8,100,0,0,2,2,2.1,3.4,3.9,3.4,0.5,59.4,57.3,1.3,37,2.3,2392096.65,149506.04,9,0.6,22.9,15,2,2.6,83.6,66.3,71.6,1.79,1.34,12.7,3.1,9.1,1.2,0.8,17,15.6,91.9,85.7,0.2,44.9,6.2,15.5,21.7,10.9,32.6,1.7
"LIBERTY SENIOR LIVING",310,32,1,0,0,4,12.5,100,0,0,2,2.5,1.7,2.3,3.3,2.9,0.4,58.4,47.7,0.9,51,1.6,1483466.61,46358.33,12,0.4,22.6,18.3,1.7,4.6,75,80.6,85.6,1.91,1.5,13.6,3.5,12.3,5.8,2.1,20.4,22.7,95,92.2,0,64.9,7.4,3.6,18.1,10.6,39.2,8.9
"LIFE CARE CENTERS OF AMERICA",311,198,29,0,4,14,7.1,96,1,3,3.1,2.9,3.1,3.8,3.7,3.2,0.7,48,48.4,0.8,279,1.4,6205806.37,31342.46,18,0.1,21.8,12.6,1.5,2.5,79.1,80.7,86.1,1.76,1.05,13,3.2,8.5,1.6,1.1,18.2,14.2,94.3,94.8,0,54.1,6.1,5.8,19.5,10.4,28.5,7.4
"LIFE CARE SERVICES",312,23,15,0,0,0,0,82.6,17.4,0,4.1,3.9,4,4.4,4.7,4.2,1.1,53.6,49.5,0.2,32,1.4,215200.16,9356.53,1,0,21.8,9.1,1,2,82.2,82.3,87.1,1.63,0.71,12.7,4.5,7,2.1,1,17.7,14.1,93.7,94.7,0,61,5.1,3.6,14.5,10.5,43,5.7
"LIFEPOINT HOSPITALS",314,10,7,0,0,0,0,90,0,10,3.8,3.6,3.3,3.7,5.6,4.8,2,43,37.7,0.5,23,2.3,80014.93,8001.49,1,0.1,21.7,17.9,1.4,2.9,72.2,87.5,86.6,1.34,1.01,14.6,2.7,10.5,4.6,0.5,22.5,17.4,98.5,98,0,51,5.9,3.4,17.7,10,23.7,3.9
"LIFESPACE COMMUNITIES",315,14,7,0,0,0,0,7.1,92.9,0,4.3,3.6,4.5,4.5,4.6,4,1.3,45.3,40.9,0.5,26,1.9,79343.97,5667.43,0,0,23.5,9.9,1.7,1.4,82.1,82.7,80.9,1.5,0.71,11.5,4.1,6.9,2.4,1.9,14,9.7,96.3,94.3,0,62.1,4.6,4.9,17.5,10.5,42.7,21.8
LIFESPARK,316,4,2,0,0,2,50,25,75,0,1.5,1.5,2.3,4.3,3.3,2.9,0.6,44.6,47.3,"",9,2.3,157582.69,39395.67,0,0,14.4,14.3,0.9,1.9,73.6,71.9,88.2,1.84,0.61,18.5,4.9,5.3,1.6,0.8,18.8,15.2,94.6,95.3,0,60.2,4,3.7,10.1,9.2,25.8,2.6
"LIGHTNING CREEK INVESTMENT GROUP",317,3,2,1,0,2,66.7,100,0,0,2.5,2.5,3,3,3.7,3.2,0.5,61,16.7,1.5,7,2.3,200352.2,66784.07,3,1,5.4,23.6,7,0,85.8,73.2,77,1.39,0.83,24.9,4.5,6,4.9,1.4,14,26.9,97.1,92.2,0,31.5,1.3,7.4,33.4,9.8,0.9,0
"LINKS HEALTHCARE GROUP",318,12,1,0,0,1,8.3,100,0,0,3.6,3.2,3.3,4.6,4,3.7,0.5,44.9,52.4,0.5,16,1.3,131889.85,10990.82,1,0.1,23.9,12.3,1.5,1.2,87.7,98,99.1,2.09,0.94,7.9,1.5,6.8,1,1.3,9.9,5.7,99.9,100,0,20.6,6.4,2.3,9.1,10.5,21,20.8
"LIONSTONE CARE",611,18,1,0,0,0,0,100,0,0,2.2,2.6,1.5,3.9,3.6,3.1,0.6,60.1,57.7,0.8,45,2.5,511324.74,28406.93,5,0.3,25.4,14.4,1.6,3,79.4,52.9,61.6,2.12,1.68,15.6,4,7.7,1,0.3,11.6,13.7,86.5,83.1,0,39.3,7,32.6,25.2,10,31.1,4.9
"LITTLE SISTERS OF THE POOR",319,3,3,0,0,0,0,0,100,0,5,4.7,5,3.7,5.4,5,1.5,31.6,26.2,0,0,0,0,0,1,0.3,"","","","","",78.1,70.4,1.74,0.47,6.5,6.3,2.9,2.8,1.2,22.8,17.2,99.8,95.2,0,48.8,7.4,2.6,14.7,"",63.8,19.1
"LIVE OAK HEALTHCARE",320,6,1,0,0,0,0,100,0,0,2.2,2.7,1.2,2.2,3.1,2.5,0.4,61.8,59,0.4,11,1.8,228957.25,38159.54,2,0.3,30.1,20.5,1.6,4.7,41.6,75.9,78.4,2.22,1.92,14.1,3.7,7.2,2.8,1.7,18,20.3,98.6,90.7,0,41.3,1.3,0.7,27.1,12.5,40.8,19.9
"LME FAMILY HOLDINGS",321,12,2,0,1,1,8.3,100,0,0,1.6,1.7,1.7,2.7,3.4,3,0.6,61.2,60,0.5,60,5,318683.48,26556.96,2,0.2,24.2,11,1.8,4.2,74.2,62,63.3,2.39,1.15,19.1,3.3,8.5,1.6,1.3,19.5,16.5,93.3,80.1,0,45.4,7.2,5.3,17.4,10.4,35.9,2.6
"LOFT HEALTHCARE",322,5,1,0,1,1,20,100,0,0,1.4,1.4,1.2,2.6,3.5,3.2,0.3,59.2,70.9,"",38,7.6,1244660,248932,15,3,24.9,12.6,1.5,3.1,66.6,70,80.2,1.95,1.92,12.3,3.4,8.4,3.4,2.1,14.8,10.1,95.5,90.9,0.1,53.8,12.5,11.5,20.5,11.3,21.3,15.2
"LONGWOOD MANAGEMENT CORPORATION",323,35,1,0,0,3,8.6,100,0,0,2.3,2,2.9,3.9,4.1,3.8,0.4,43.4,47.3,0.8,123,3.5,980434.21,28012.41,4,0.1,22.6,8.1,2.1,0.6,78,77.8,77.3,2.78,0.79,8.6,1.6,9.7,1.7,0.8,9,10.1,96.9,95.3,0.4,40.6,5.6,0.1,10.4,11,33.5,6.5
